Time,Starthour,Endhour,Unit,Data
2023-03-17,19:45,20:00,MW,69.132
2023-03-17,20:00,20:15,MW,1.312
2023-03-17,20:15,20:30,MW,126.444
2023-03-17,20:30,20:45,MW,48.032
2023-03-17,20:45,21:00,MW,30.884
2023-03-17,21:00,21:15,MW,2.736
2023-03-17,21:15,21:30,MW,6.472
2023-03-17,21:30,21:45,MW,100.668
2023-03-17,21:45,22:00,MW,210.892
2023-03-17,22:00,22:15,MW,71.136
2023-03-17,22:15,22:30,MW,41.104
2023-03-17,22:30,22:45,MW,250.072
2023-03-17,22:45,23:00,MW,183.512
2023-03-17,23:00,23:15,MW,12.628
2023-03-17,23:15,23:30,MW,135.172
2023-03-17,23:30,23:45,MW,21.72
2023-03-17,23:45,00:00,MW,169.504
2023-03-18,00:00,00:15,MW,0.000068
2023-03-18,00:15,00:30,MW,4.592
2023-03-18,00:30,00:45,MW,26.632
2023-03-18,00:45,01:00,MW,157.332
2023-03-18,01:00,01:15,MW,106.788
2023-03-18,01:15,01:30,MW,206.252
2023-03-18,01:30,01:45,MW,336.052
2023-03-18,01:45,02:00,MW,213.588
2023-03-18,02:00,02:15,MW,10.888
2023-03-18,02:15,02:30,MW,4.032
2023-03-18,02:30,02:45,MW,0.000232
2023-03-18,02:45,03:00,MW,3.34
2023-03-18,03:00,03:15,MW,0
2023-03-18,03:15,03:30,MW,0
2023-03-18,03:30,03:45,MW,0
2023-03-18,03:45,04:00,MW,0.000032
2023-03-18,04:00,04:15,MW,0
2023-03-18,04:15,04:30,MW,0
2023-03-18,04:30,04:45,MW,0
2023-03-18,04:45,05:00,MW,0
2023-03-18,05:00,05:15,MW,0
2023-03-18,05:15,05:30,MW,0
2023-03-18,05:30,05:45,MW,0
2023-03-18,05:45,06:00,MW,0
2023-03-18,06:00,06:15,MW,0
2023-03-18,06:15,06:30,MW,6.452
2023-03-18,06:30,06:45,MW,3.492
2023-03-18,06:45,07:00,MW,11.536
2023-03-18,07:00,07:15,MW,35.916
2023-03-18,07:15,07:30,MW,2.716
2023-03-18,07:30,07:45,MW,47.336
2023-03-18,07:45,08:00,MW,46.996
2023-03-18,08:00,08:15,MW,0
2023-03-18,08:15,08:30,MW,3.444
2023-03-18,08:30,08:45,MW,29.856
2023-03-18,08:45,09:00,MW,31.816
2023-03-18,09:00,09:15,MW,82.188
2023-03-18,09:15,09:30,MW,166.164
