Time,Starthour,Endhour,Unit,Data
2023-03-17,14:45,15:00,MW,532.528
2023-03-17,15:00,15:15,MW,251.672
2023-03-17,15:15,15:30,MW,399.28
2023-03-17,15:30,15:45,MW,865.304
2023-03-17,15:45,16:00,MW,471.696
2023-03-17,16:00,16:15,MW,95.372
2023-03-17,16:15,16:30,MW,63.1
2023-03-17,16:30,16:45,MW,122.672
2023-03-17,16:45,17:00,MW,75.636
2023-03-17,17:00,17:15,MW,23.836
2023-03-17,17:15,17:30,MW,77.672
2023-03-17,17:30,17:45,MW,0.000916
2023-03-17,17:45,18:00,MW,2.024
2023-03-17,18:00,18:15,MW,0.000004
2023-03-17,18:15,18:30,MW,0.000968
2023-03-17,18:30,18:45,MW,24.4
2023-03-17,18:45,19:00,MW,59.24
2023-03-17,19:00,19:15,MW,0.000392
2023-03-17,19:15,19:30,MW,0.000004
2023-03-17,19:30,19:45,MW,0
2023-03-17,19:45,20:00,MW,0
2023-03-17,20:00,20:15,MW,21.38
2023-03-17,20:15,20:30,MW,26.492
2023-03-17,20:30,20:45,MW,0
2023-03-17,20:45,21:00,MW,0
2023-03-17,21:00,21:15,MW,80.376
2023-03-17,21:15,21:30,MW,5.108
2023-03-17,21:30,21:45,MW,17.924
2023-03-17,21:45,22:00,MW,0
2023-03-17,22:00,22:15,MW,0
2023-03-17,22:15,22:30,MW,0.000028
2023-03-17,22:30,22:45,MW,0
2023-03-17,22:45,23:00,MW,0
2023-03-17,23:00,23:15,MW,0.000228
2023-03-17,23:15,23:30,MW,3.632
2023-03-17,23:30,23:45,MW,0
2023-03-17,23:45,00:00,MW,0.000048
2023-03-18,00:00,00:15,MW,61.044
2023-03-18,00:15,00:30,MW,23.944
2023-03-18,00:30,00:45,MW,0
2023-03-18,00:45,01:00,MW,0
2023-03-18,01:00,01:15,MW,0
2023-03-18,01:15,01:30,MW,0
2023-03-18,01:30,01:45,MW,0
2023-03-18,01:45,02:00,MW,0
2023-03-18,02:00,02:15,MW,37.944
2023-03-18,02:15,02:30,MW,7.728
2023-03-18,02:30,02:45,MW,33.84
2023-03-18,02:45,03:00,MW,0.000008
2023-03-18,03:00,03:15,MW,417.252
2023-03-18,03:15,03:30,MW,352.208
2023-03-18,03:30,03:45,MW,213.556
2023-03-18,03:45,04:00,MW,97.156
2023-03-18,04:00,04:15,MW,146.276
2023-03-18,04:15,04:30,MW,55.128
2023-03-18,04:30,04:45,MW,117.196
2023-03-18,04:45,05:00,MW,34.084
2023-03-18,05:00,05:15,MW,54.252
2023-03-18,05:15,05:30,MW,152.512
2023-03-18,05:30,05:45,MW,212.324
2023-03-18,05:45,06:00,MW,518.076
2023-03-18,06:00,06:15,MW,272.956
2023-03-18,06:15,06:30,MW,24.448
2023-03-18,06:30,06:45,MW,2.636
2023-03-18,06:45,07:00,MW,0.000304
2023-03-18,07:00,07:15,MW,8.088
2023-03-18,07:15,07:30,MW,2.02
2023-03-18,07:30,07:45,MW,0
2023-03-18,07:45,08:00,MW,0
2023-03-18,08:00,08:15,MW,82.288
2023-03-18,08:15,08:30,MW,4.232
2023-03-18,08:30,08:45,MW,0.000024
2023-03-18,08:45,09:00,MW,0
2023-03-18,09:00,09:15,MW,0
2023-03-18,09:15,09:30,MW,0
2023-03-18,09:30,09:45,MW,0
2023-03-18,09:45,10:00,MW,0
2023-03-18,10:00,10:15,MW,0
2023-03-18,10:15,10:30,MW,11.556
2023-03-18,10:30,10:45,MW,0
2023-03-18,10:45,11:00,MW,0.000004
2023-03-18,11:00,11:15,MW,0
2023-03-18,11:15,11:30,MW,0
2023-03-18,11:30,11:45,MW,0
2023-03-18,11:45,12:00,MW,0
2023-03-18,12:00,12:15,MW,0.000584
2023-03-18,12:15,12:30,MW,0
2023-03-18,12:30,12:45,MW,0
2023-03-18,12:45,13:00,MW,0
2023-03-18,13:00,13:15,MW,0
2023-03-18,13:15,13:30,MW,0
2023-03-18,13:30,13:45,MW,0
2023-03-18,13:45,14:00,MW,0
2023-03-18,14:00,14:15,MW,0.000128
2023-03-18,14:15,14:30,MW,43.936
