Time,Nominal,Moderate,Data
1.080000000000000000e+02,7.374350461293056469e+01,8.166884615384616097e+01,7.123095976175689259e+01
1.080000000000000000e+02,7.374350461293056469e+01,8.166884615384616097e+01,7.123095976175689259e+01
1.080000000000000000e+02,7.374350461293056469e+01,8.166884615384616097e+01,7.123095976175689259e+01
1.090000000000000000e+02,6.919345721671514582e+01,7.878423076923075996e+01,6.615292595585520985e+01
1.090000000000000000e+02,6.919345721671514582e+01,7.878423076923075996e+01,6.615292595585520985e+01
1.090000000000000000e+02,6.919345721671514582e+01,7.878423076923075996e+01,6.615292595585520985e+01
1.090000000000000000e+02,6.919345721671514582e+01,7.878423076923075996e+01,6.615292595585520985e+01
1.100000000000000000e+02,7.473875164672935512e+01,8.229980769230766668e+01,7.234169502290106379e+01
1.100000000000000000e+02,7.473875164672935512e+01,8.229980769230766668e+01,7.234169502290106379e+01
1.100000000000000000e+02,7.473875164672935512e+01,8.229980769230766668e+01,7.234169502290106379e+01
1.100000000000000000e+02,7.473875164672935512e+01,8.229980769230766668e+01,7.234169502290106379e+01
1.110000000000000000e+02,8.793024905783701684e+01,9.066288461538458421e+01,8.706393063297112178e+01
1.110000000000000000e+02,8.793024905783701684e+01,9.066288461538458421e+01,8.706393063297112178e+01
1.110000000000000000e+02,8.793024905783701684e+01,9.066288461538458421e+01,8.706393063297112178e+01
1.110000000000000000e+02,8.793024905783701684e+01,9.066288461538458421e+01,8.706393063297112178e+01
1.120000000000000000e+02,1.068966666242212966e+02,1.026871153846153817e+02,1.082312067494916050e+02
1.120000000000000000e+02,1.068966666242212966e+02,1.026871153846153817e+02,1.082312067494916050e+02
1.120000000000000000e+02,1.068966666242212966e+02,1.026871153846153817e+02,1.082312067494916050e+02
1.120000000000000000e+02,1.068966666242212966e+02,1.026871153846153817e+02,1.082312067494916050e+02
1.130000000000000000e+02,1.345806716652610930e+02,1.202380769230768891e+02,1.391276571025325097e+02
1.130000000000000000e+02,1.345806716652610930e+02,1.202380769230768891e+02,1.391276571025325097e+02
1.130000000000000000e+02,1.345806716652610930e+02,1.202380769230768891e+02,1.391276571025325097e+02
1.130000000000000000e+02,1.345806716652610930e+02,1.202380769230768891e+02,1.391276571025325097e+02
1.140000000000000000e+02,1.523786370602973079e+02,1.315215384615384835e+02,1.589908941376974951e+02
1.140000000000000000e+02,1.523786370602973079e+02,1.315215384615384835e+02,1.589908941376974951e+02
1.140000000000000000e+02,1.523786370602973079e+02,1.315215384615384835e+02,1.589908941376974951e+02
