Time,Data
2025-03-27:NEG_031,1129.69
2025-03-27:NEG_032,1129.08
2025-03-27:NEG_033,1232.64
2025-03-27:NEG_034,1256.3
2025-03-27:NEG_035,1444.11
2025-03-27:NEG_036,1280.3
2025-03-27:NEG_037,1281.94
2025-03-27:NEG_038,1284.66
2025-03-27:NEG_039,1285.71
2025-03-27:NEG_040,1370.05
2025-03-27:NEG_041,1367.42
2025-03-27:NEG_042,1362.36
2025-03-27:NEG_043,1326.59
2025-03-27:NEG_044,1375.32
2025-03-27:NEG_045,1336.01
2025-03-27:NEG_046,1340.18
2025-03-27:NEG_047,1419.12
2025-03-27:NEG_048,1403.84
2025-03-27:NEG_049,1616.09
2025-03-27:NEG_050,1633.14
2025-03-27:NEG_051,1633.3
2025-03-27:NEG_052,1641.5
2025-03-27:NEG_053,1642.44
2025-03-27:NEG_054,1625.67
2025-03-27:NEG_055,1670.31
2025-03-27:NEG_056,1705.07
2025-03-27:NEG_057,1643.31
2025-03-27:NEG_058,1641.53
2025-03-27:NEG_059,1614.44
2025-03-27:NEG_060,1740.08
2025-03-27:NEG_061,1705.23
2025-03-27:NEG_062,1621.72
2025-03-27:NEG_063,1574.15
2025-03-27:NEG_064,1567.33
2025-03-27:NEG_065,1429.25
2025-03-27:NEG_066,1358.28
2025-03-27:NEG_067,1236.95
2025-03-27:NEG_068,1232.17
2025-03-27:NEG_069,1283.19
2025-03-27:NEG_070,1179.56
2025-03-27:NEG_071,1171.35
2025-03-27:NEG_072,1165.54
2025-03-27:NEG_073,1155.29
2025-03-27:NEG_074,1154.8
2025-03-27:NEG_075,1145.51
2025-03-27:NEG_076,1137.78
2025-03-27:NEG_077,1128.53
2025-03-27:NEG_078,1126.45
2025-03-27:NEG_079,1151.21
2025-03-27:NEG_080,1140.69
2025-03-27:NEG_081,1062.05
2025-03-27:NEG_082,1070.36
2025-03-27:NEG_083,1078.54
2025-03-27:NEG_084,1146.1
2025-03-27:NEG_085,1115.92
2025-03-27:NEG_086,1184.07
2025-03-27:NEG_087,1200.51
2025-03-27:NEG_088,1197.52
2025-03-27:NEG_089,1192.01
2025-03-27:NEG_090,1191.82
2025-03-27:NEG_091,1189.11
2025-03-27:NEG_092,1230.18
2025-03-27:NEG_093,1227.18
2025-03-27:NEG_094,1229.1
2025-03-27:NEG_095,1228.17
2025-03-27:NEG_096,1227.79
2025-03-28:NEG_001,1208.1
2025-03-28:NEG_002,1208.97
2025-03-28:NEG_003,1211.49
2025-03-28:NEG_004,1235.5
2025-03-28:NEG_005,1270.23
2025-03-28:NEG_006,1288.23
2025-03-28:NEG_007,1232.57
2025-03-28:NEG_008,1225.88
2025-03-28:NEG_009,1213.48
2025-03-28:NEG_010,1208.76
2025-03-28:NEG_011,1209.22
